"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Xkr4",0,0.898677264142795,0.946,0.379,0,"0","Xkr4"
"Il1rapl1",0,0.871513599233791,0.791,0.287,0,"0","Il1rapl1"
"Ror1",0,0.794537144702478,0.996,0.633,0,"0","Ror1"
"Kcnj3",0,0.740616479101099,0.792,0.229,0,"0","Kcnj3"
"Ank2",0,0.713783310411839,0.987,0.746,0,"0","Ank2"
"Mcf2",0,0.702183531307313,0.665,0.096,0,"0","Mcf2"
"Cdh13",0,0.673107561208776,0.801,0.328,0,"0","Cdh13"
"Dcc",0,0.671742740001148,0.883,0.414,0,"0","Dcc"
"Caln1",0,0.664913267773905,0.671,0.132,0,"0","Caln1"
"Astn2",0,0.664185254844103,0.822,0.307,0,"0","Astn2"
"A830018L16Rik",0,0.661976525762881,0.786,0.26,0,"0","A830018L16Rik"
"Otx2",0,0.654112481763231,0.716,0.172,0,"0","Otx2"
"Kif21a",0,0.640469630997676,0.825,0.358,0,"0","Kif21a"
"Adgrv1",0,0.627451561959447,0.703,0.189,0,"0","Adgrv1"
"Ctnna2",0,0.614065549712169,0.92,0.496,0,"0","Ctnna2"
"Pcsk2",0,0.60946464056694,0.534,0.05,0,"0","Pcsk2"
"Frmd5",0,0.602411984359495,0.825,0.394,0,"0","Frmd5"
"Nfasc",0,0.597363640854847,0.676,0.131,0,"0","Nfasc"
"Dab1",0,0.590520185872981,0.903,0.512,0,"0","Dab1"
"Gpc4",0,0.589570393867451,0.722,0.253,0,"0","Gpc4"
"Lmx1b",0,0.58571601768976,0.616,0.101,0,"0","Lmx1b"
"Otx2os1",0,0.577541656088173,0.534,0.066,0,"0","Otx2os1"
"Nrg3",0,0.574447424876323,0.544,0.116,0,"0","Nrg3"
"Rims2",0,0.562194554211359,0.955,0.588,0,"0","Rims2"
"Slc35f1",0,0.559876511196963,0.755,0.291,0,"0","Slc35f1"
"Cdh4",0,0.554295621236476,0.775,0.364,0,"0","Cdh4"
"Sfrp1",0,0.551034661681191,0.803,0.34,0,"0","Sfrp1"
"Pak3",0,0.541061617336898,0.562,0.115,0,"0","Pak3"
"Rfx4",0,0.535135565269679,0.497,0.101,0,"0","Rfx4"
"Pax2",0,0.534248127207732,0.481,0.068,0,"0","Pax2"
"Dgkb",0,0.531518623356441,0.616,0.178,0,"0","Dgkb"
"Dgki",0,0.524103822247933,0.553,0.091,0,"0","Dgki"
"Dnmt3b",0,0.52374744122299,0.976,0.793,0,"0","Dnmt3b"
"Pim2",0,0.522897302125036,0.676,0.213,0,"0","Pim2"
"Cdh10",0,0.514877931746221,0.692,0.264,0,"0","Cdh10"
"Pou3f1",0,0.512893399155048,0.616,0.176,0,"0","Pou3f1"
"Lrp2",0,0.510587163848386,0.944,0.568,0,"0","Lrp2"
"Syt1",0,0.507057647380433,0.527,0.103,0,"0","Syt1"
"Efna5",0,0.500074833625525,0.998,0.878,0,"0","Efna5"
"Tcf7l1",0,0.497347918008182,0.958,0.702,0,"0","Tcf7l1"
"Galnt16",0,0.468092524027755,0.592,0.157,0,"0","Galnt16"
"Cdyl",0,0.45709926705229,0.957,0.763,0,"0","Cdyl"
"Sox2",0,0.449028387624764,0.59,0.189,0,"0","Sox2"
"Jakmip2",0,0.44092675681216,0.564,0.162,0,"0","Jakmip2"
"Zmat4",0,0.411841580852099,0.421,0.067,0,"0","Zmat4"
"Rasal2",0,0.403175037910145,0.992,0.887,0,"0","Rasal2"
"Pten",0,0.373262988503194,0.98,0.884,0,"0","Pten"
"Pcdh15",0,0.371548131328384,0.351,0.058,0,"0","Pcdh15"
"Ptprg",0,0.355014907230133,1,0.971,0,"0","Ptprg"
"Miat",0,0.343497734361883,0.389,0.051,0,"0","Miat"
"Ube2k",0,0.299855244956221,0.994,0.969,0,"0","Ube2k"
"Tdrd7",0,0.294843612718574,0.323,0.047,0,"0","Tdrd7"
"Cdh9",0,0.199494226529468,0.191,0.013,0,"0","Cdh9"
